SKU,ASIN,UPC,Condition,Item,Category,Qty,Unit Price,MSRP,Est. selling price on Az
888 B07KXWXX9L US,B07KXWXX9L,                    ,Fulfilled by Amazon,ON Cloudstratus Black/Shadow 13 M,Sports Shoes,1,98.88,311.99,
888 B07KFGYLWK US,B07KFGYLWK,035886417826,Fulfilled by Amazon,J.A. Henckels International Elan 14 Piece Set Self-Sharpening Block,Kitchen & Dining ,57,98,144.99,150
888 B074M9DZ4N,B074M9DZ4N,                    ,Brand New,Philips Original AquaClean Calc and Water filterb - Prolong machine - No descaling up to 5000 cups - 1x AquaClean Filter (CA6903/10),Other,10,8,22.99,16.27
888 B00T7NY6NI,B00T7NY6NI,740275008072        ,Brand New,"Magic Mesh MM011124 Screen Door with 18 Magnets, 83X19.5-Inc",Other,11,4,23.99,7.59
888 B00432F1UA US,B00432F1UA,B00432F1UA          ,Fulfilled by Amazon,"Birkenstock Women's Sandals Flip Flops, Pearl White, 5.5",Sandals & Slippers,1,65,140.99,193.34
888 B0000AXHRU,B0000AXHRU,041333086613,Brand New,Duracell Copper Top C Duracell Coppertop C Alkaline Batteries 1.5 Volt 2 Each,Other,14,4,10.99,5.49
888 B07B7Z45MT,B07B7Z45MT,037000751311,Brand New,"Always Radiant Feminine Pads For Women, Size 3 Extra Heavy Flow Absorbency, With Flexfoam, With Wings, Scented, 22 Count",Drugstore,8,5.5,22.99,
888 B079P3BVTR,B079P3BVTR,                    ,Brand New,Emporio Armani Men's Essentials Stretch Cotton Trunk 110852 ,Mens clothing,7,12,32.99,33
888 B01HMDS5GS US,B01HMDS5GS,                    ,Fulfilled by Amazon,GIGABYTE GeForce GT 710 2GB Low Profile Graphic Card (GV-N710D3-2GL REV2.0) (Pack of 30),Hardware,1,38,62.99,49.99
888 B00MXD137Q,B00MXD137Q,764302215509,Brand New,"Shea Moisture Jamaican Black Castor Oil Strengthen & Restore Shampoo, Shea Butter, Peppermint & Apple Cider Vinegar, Sulfate Free, Natural, Chemically Processed Hair, Family Size, 16 Fl Oz",Beauty Products,10,8,19.99,13.53
888 B07SLV7RXM,B07SLV7RXM,                    ,Brand New,"Professional Sprayer IK Foam Pro 2 - Cleaning, Automotive, Detailing and Wheel Cleaner applicator - Designed for Application of Foaming Agents - Professional Cleaning -Mouth Opening - Made in Europe",Automotive,30,19,62.99,40.84
888 B06ZZYMXMW,B06ZZYMXMW,070942306973,Brand New,"GUM Soft-Picks Advanced, Easy to Use Dental Picks for Teeth Cleaning and Gum Health, Disposable Interdental Brushes with Convenient Carry Case, Dentist Recommended Dental Picks, 60ct",Other,7,3.5,17.99,5.99
888 B01LXJNPZV,B01LXJNPZV,013803272628,Brand New,"Canon PG-243 Compatible to MG2525,MG3020,TR4520/4522,TS202,TS302,TS3120/3122,TS3320/3322 Printers",Office Equipment,16,10,22.99,16
888 B01K3S5MQK,B01K3S5MQK,881334003000,Brand New,"Dunkin' French Vanilla Flavored Coffee, 10 Keurig K-Cup Pods",Groceries,10,7,12.99,9.64
888 B00VH3NAUG,B00VH3NAUG,072140006389,Brand New,Aquaphor Lip Repair Ointment - Long-lasting Moisture to Soothe Dry Chapped Lips - .35 fl. oz. Tube,Beauty Products,53,3,5.99,4.76
888 B01BHSTKPE,B01BHSTKPE,046500022463,Brand New,Shout Wipe & Go Instant Stain Remover - 12 CT,Household Supplies,36,3.6,12.99,3.98
888 B00006LHDI,B00006LHDI,039800045584,Brand New,Eveready EN91 Alkaline AA General Purpose Battery,Household Supplies,8,6,19.99,13.06
888 B01956RTE4 US,B01956RTE4,                    ,Fulfilled by Amazon,"Black Flag Flea & Tick Killer Home Treatment & Growth Regulator,Ready-To-Use Spray, 1-Gallon, 4-Pack",Pet Accessories,30,59,,83.88
888 B00T0C9XRK,B00T0C9XRK,762027422264,Brand New,essence | Lash Princess False Lash Effect Mascara | Volumizing & Lengthening | Cruelty Free & Paraben Free,Cosmetics,39,2,11.99,4.99
888 B00ZRWTDTU,B00ZRWTDTU,                    ,Brand New,Bilstein 24-186728 Shock Absorber,Automotive,2,50,106.99,
888 B08GHLM31C US,B08GHLM31C,                    ,Fulfilled by Amazon,Luminox Men's Sea Sport Timer Automatic 0920 Series Watch,Watches,1,698,1645,1013.21
888 B08DR135QT US,B08DR135QT,758498081284,Fulfilled by Amazon,RADO Golden Horse Automatic Blue Dial Watch - R33101203 Blue One Size,Watches,1,988,2000,
888 B07Z66M95F US,B07Z66M95F,                    ,Fulfilled by Amazon,Tissot Carson Premium Chronograph - T1224171605100 Black One Size,Watches,4,298,385,
888 B07JYHSK27 US,B07JYHSK27,                    ,Fulfilled by Amazon,Casio G-Shock GWF-1035F-1JR FROGMAN Magma Ocean 35th Anniversary Limited Radio Solar Watch (Japan Domestic Genuine Products),Watches,1,698,1140.99,
888 B07JCF4V95 US,B07JCF4V95,824142172056,Fulfilled by Amazon,2019 Newest MSI - GeForce RTX 2070 Gaming Z 8GB GDDR6 PCI Express 3.0 Graphics Card,Hardware,1,400,,259.13
888 B078KH3DW5 US,B078KH3DW5,703200194431,Fulfilled by Amazon,Longines Grande Classique White Dial Ladies Watch L43194116,Watches,1,748,766.99,
888 B01K4I77GM US,B01K4I77GM,675901401401,Fulfilled by Amazon,"Intel SSD 600p Series SSDPEKKW010T7X1 (1 TB, M.2 80mm PCIe NVMe 3.0 x4, 3D1, TLC) Reseller Single Pack",Hardware,2,290,,189
888 B016OYO4OI US,B016OYO4OI,888863379781,Fulfilled by Amazon,"Acer Aspire One Cloudbook - A01-131-C7DW - 11.6"" Windows 10 Laptop, Intel Celeron N3050, 2GB RAM, 16GB SSD - Charcoal Gray",Laptops & Tablets,31,180,240.99,152.51
888 B008Y7WB30 US,B008Y7WB30,045235901104,Fulfilled by Amazon,SUUNTO Core Outdoor Watch - AW16 - One - Black,Watches,84,168,199,
888 B005BDXK4Y US,B005BDXK4Y,720026760268,Fulfilled by Amazon,"Saucony Originals Women's Jazz Originals Fashion Sneaker, Light Blue, 6.5 M US",Sneakers,3,35,77.99,79.95
888 B01BDT5VPA US,B01BDT5VPA,888392162946,Fulfilled by Amazon,"Oakley Women's OO9301 Cohort Rectangular Sunglasses, Sepia/Dark Brown Gradient, 62 mm",Sunglasses,3,79,116.99,154
888 B01M09J2YX US,B01M09J2YX,045242473168,Fulfilled by Amazon,Milwaukee 2771-20 M18 Transfer Pump,Tools & Home Improvement ,0,138,270.99,201
888 B000XFB3HG US,B000XFB3HG,034558833643,Fulfilled by Amazon,HENCKELS Zwilling JA 2 Piece Carving Set,Other,1,90,192.99,199.99
888 B096WKKK2K US,B096WKKK2K,840080564906,Fulfilled by Amazon,"Amazon Fire 7 tablet, 7"" display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Black",Amazon Devices,3,35,63.99,59.99
888 B07PXWWHXZ US,B07PXWWHXZ,                    ,Fulfilled by Amazon,Hey Dude Women's Wendy Burgundy Size 6 | Women's Shoes | Women's Lace Up Loafers | Comfortable & Light-Weight,Casual Shoes,1,27,72.99,56.95
888 B07L2F1M2Z US,B07L2F1M2Z,                    ,Fulfilled by Amazon,"On Women's Cloud Terry Sneakers, Silver, 11 Medium US",Sports Shoes,1,99,276.99,
888 B095SWPGVR US,B095SWPGVR,767531876352        ,Fulfilled by Amazon,GIGABYTE GeForce RTX 2060 D6 V2 6GB Graphics Card Black,Hardware,2,313.2,,299
888 B08RXWQ265 US,B08RXWQ265,194768662485,Fulfilled by Amazon,"New Balance Women's Fresh Foam 880v11, Black/White, 11 Medium",Sports Shoes,1,45,149.99,119.95
888 B082GQNKRT US,B082GQNKRT,                    ,Fulfilled by Amazon,"ASUS TUF Gaming Video Card - GeForce GTX 1660 Super, 6GB GDDR6, OC Edition",Hardware,32,200,486.99,299.01
888 B07KXYSWV2 US,B07KXYSWV2,                    ,Fulfilled by Amazon,ON Cloudace Sea/Almond 8.5 M,Sports Shoes,1,110,314.99,
888 B0013VLK8Q US,B0013VLK8Q,                    ,Fulfilled by Amazon,"Birkenstock Original Insoles Regular Width, Black L7 M5 38,0",ShoeCare & Accessories,5,28,49.99,59
888 B01F7KJDIM US,B01F7KJDIM,888462314527,Fulfilled by Amazon,Apple Lightning to USB 3 Camera Adapter,Mobile Accessories,1,22,59.99,39
888 B08FBP422Z US,B08FBP422Z,                    ,Fulfilled by Amazon,Samsung Official Galaxy Note 20 & Note 20 Ultra S Pen with Bluetooth (Gray),Tablets,2,20,41.99,24.99
888 B0951WGXB2 US,B0951WGXB2,190340971105,Fulfilled by Amazon,Brooks Women's Trace Neutral Running Shoe - Ebony/White/Pink - 8,Sports Shoes,7,70,120.99,79.95
888 B09441DKDB US,B09441DKDB,194851916440,Fulfilled by Amazon,"ASICS Men's Court FlyteFoam 2 Tennis Shoes, 12, Black/Green Gecko",Sports Shoes,4,80,198.99,
888 B08P4P5VHW US,B08P4P5VHW,194905432520,Fulfilled by Amazon,Altra Footwear Lone Peak Hiker Black 10.5 D (M),Sports Shoes,2,99,216.99,
888 B08P4P1BCC US,B08P4P1BCC,194905442857,Fulfilled by Amazon,ALTRA Men's Lone Peak All-Weather Low Black/Yellow,Sports Shoes,1,99,192.99,169.95
888 B08P4JZN7Z US,B08P4JZN7Z,194905439833,Fulfilled by Amazon,ALTRA Men's Lone Peak All-Weather Mid Black,Sports Shoes,1,99,204.99,179.95
888 B07DW5L38Y US,B07DW5L38Y,190665000000        ,Fulfilled by Amazon,"Dr. Martens Women's 1460 Pascal Mono 8 Eye Boots, Black, 8 Medium US",Outerwear,1,89,176.99,169.95
888 B07VYLTT4D US,B07VYLTT4D,190665313420,Fulfilled by Amazon,"Dr. Martens Polley, Women's, Black, Soft Toe, Slip Resistant Mary Jane (7.0 MW)",Work & Safety,5,60,144.99,99.95
888 B07S3KGQKW US,B07S3KGQKW,192643926332,Fulfilled by Amazon,Coach Houston Flight/Messenger Bag Smythe Leather (Black),Handbags & Luggage,1,130,214.99,189
888 B07SNFSZ7H US,B07SNFSZ7H,                    ,Fulfilled by Amazon,ON Cloudflow Rust/Limelight 11 M,Sports Shoes,1,90,222.99,279
888 B088JPCD2D US,B088JPCD2D,822698208496,Fulfilled by Amazon,Birkenstock Barbados Essentials Metallic Silver Eva EU 38 (US Women's 7-7.5) Regular,Sandals & Slippers,2,35,54.99,
888 B00SNMPM0A US,B00SNMPM0A,885370813357,Fulfilled by Amazon,XBOX One 500 GB Black Console,Other,1,220,372.99,
888 B07MPQH8MN US,B07MPQH8MN,193151463319,Fulfilled by Amazon,"Nike Women's Gymnastics Shoes, Black Black Black Anthracite Dk Grey 008, 6.5 us",Sports Shoes,1,45,107.99,73.48
888 B092PLK2GT US,B092PLK2GT,194956637332,Fulfilled by Amazon,Jordan Womens WMNS Air 1 Low SE DH9619 103 Limelight - Size 8.5W,Sneakers,1,250,,350
888 B08PKJW874 US,B08PKJW874,194500843851,Fulfilled by Amazon,Nike React Infinity Run Flyknit 2 Particle Grey/White/Grey Fog/Black 12 D (M),Sports Shoes,2,120,204.99,199.99
888 B08NCFVZRH US,B08NCFVZRH,                    ,Fulfilled by Amazon,"ASICS Men Shoes Athletic Sport Road Running Gym Training Luxurious Gel Nimbus 23 New (Black/White, Numeric_11)",Sports Shoes,4,60,120.99,
888 B07815S72N US,B07815S72N,191497404423,Fulfilled by Amazon,"ASICS Men's Aggressor 4 Wrestling Shoes, 6.5, Black/Black",Sports Shoes,1,65,144.99,120.41
888 B096L54T4M US,B096L54T4M,074101202083,Fulfilled by Amazon,Fujifilm Instax Mini Liplay Dark Grey Camera - Limited Edition,Cameras & Camcorders ,1,799.2,,
888 B08P2744B6 US,B08P2744B6,822698881729,Fulfilled by Amazon,"Birkenstock Arizona Vegan Light Rose Birkibuc^a""c EU 38 (US Women's 7-7.5) Narrow",Sandals & Slippers,2,55,120.99,
888 B08CS1SCPC US,B08CS1SCPC,822698503829,Fulfilled by Amazon,"Birkenstock Men's Arizona Soft Footbed Sandals, Mountain View, Green, 10 Medium US",Sandals & Slippers,1,55,142.99,
888 B082NWSZLS US,B082NWSZLS,194851045089,Fulfilled by Amazon,"ASICS Women's GT-1000 9 Running Shoes, 8.5, Piedmont Grey/BIO Mint",Sports Shoes,2,65,156.99,129.99
888 B08T865C35 US,B08T865C35,190340892936,Fulfilled by Amazon,Brooks Women's Trace Neutral Running Shoe - Grey/Nightshadow/Raspberry - 8.5,Sports Shoes,2,60,120.99,99.94
888 B0978RBM3Q US,B0978RBM3Q,190340961243,Fulfilled by Amazon,Brooks Women's Levitate StealthFit GTS 5 Supportive Running Shoe - Black/Grey/White - 8.5,Sports Shoes,1,70,180.99,149.95
888 B08F536H7S US,B08F536H7S,194389960328,Fulfilled by Amazon,"New Balance Women's Fresh Foam More Trail, Jet Stream, 7 Medium",Sports Shoes,2,74,143.99,125.55
888 B07LH5B6RM US,B07LH5B6RM,190665251166,Fulfilled by Amazon,Dr. Martens Unisex Ultra Protector,ShoeCare & Accessories,2,9,13,17.95
888 B08P4MR4SJ US,B08P4MR4SJ,194905436252,Fulfilled by Amazon,Altra Footwear Escalante 2.5 Blue/White 10 B (M),Other,2,75,216.99,130.6
888 B08KTR9X56 US,B08KTR9X56,                    ,Fulfilled by Amazon,Hey Dude Men's Wally Free Storm Size 12 | Men's Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight Gray and White,Casual Shoes,1,34,78.99,73.98
888 B08QVHVYSL US,B08QVHVYSL,190340972980,Fulfilled by Amazon,Brooks Women's Cascadia 16 Trail Running Shoe - Black/Ebony/Yucca - 12 Medium,Sports Shoes,1,70,114.99,129.95
888 B096BHW592 US,B096BHW592,194851800213,Fulfilled by Amazon,"ASICS Men's Gel-Cumulus 23 Running Shoe, 8.5, Piedmont Grey/White",Sports Shoes,1,45,132.99,109.95
888 B09441H9Q4 US,B09441H9Q4,194851905468,Fulfilled by Amazon,"ASICS Women's Gel-Challenger 13 Tennis Shoes, 10.5, Lapis Lazuli Blue/White",Sports Shoes,1,46,138.99,
888 B093ZS8YF9 US,B093ZS8YF9,194851804990,Fulfilled by Amazon,"ASICS Women's Fuji Lite 2 Running Shoes, 8, DEEP SEA Teal/Pure Silver",Sports Shoes,1,50,144.99,98.95
888 B097J3J7YR US,B097J3J7YR,194851831415,Fulfilled by Amazon,ASICS Gel-Dedicate 7 Peacoat/Pure Silver 10 B (M),Sports Shoes,2,38,84.99,
888 B093ZRCMJ4 US,B093ZRCMJ4,194715723245,Fulfilled by Amazon,"Hoka Women's Anacapa Mid GTX Hiking Boot (Hot Sauce/Cherry Mahogany, Numeric_9_Point_5)",Boots,1,95,211.99,
888 B08GC64Q3K US,B08GC64Q3K,194851794598,Fulfilled by Amazon,ASICS Gel-Dedicate 7 White/Black 10 D (M),Sports Shoes,34,38,83.99,72.32
888 B07DDNPVBH US,B07DDNPVBH,192410086566,Fulfilled by Amazon,HOKA ONE ONE Womens Tivra Black/Dark Shadow Sneaker - 8,Sports Shoes,1,80,110,
888 B094VD692D US,B094VD692D,195436105068,Fulfilled by Amazon,"ALTRA Lone Peak 5 Men's Shoes, Majolica Blue, 10 M (US)",Other,1,60,131.99,106.2
888 B08TVPB41F US,B08TVPB41F,194905449566,Fulfilled by Amazon,"ALTRA Men's Provision 5 Road Running Shoe, Light Gray/Red, 11.5",Sports Shoes,1,60,122.99,100.1
888 B01M0Y5YU0 US,B01M0Y5YU0,                    ,Fulfilled by Amazon,Birkenstock Womens Mayari Birko-Flor Flip Flop Summer Sandals - Anthracite -6-6.5,Sandals & Slippers,1,55,132.99,
888 B0091FMT6S US,B0091FMT6S,736399369205,Fulfilled by Amazon,"Birkenstock Womens Gizeh Slide Sandal, Blue, 37 M EU",Sandals & Slippers,13,55,119.99,106.05
888 B00Q8TKRIC US,B00Q8TKRIC,                    ,Fulfilled by Amazon,LOWA 320945 0925 Size 8.5 US Beige,Boots,3,155,288.99,344.19
888 B003BWH7WI US,B003BWH7WI,                    ,Fulfilled by Amazon,LOWA 320945 0925 Size 8 US Beige,Boots,2,155,288.99,353.74
888 B08P5LTJBT US,B08P5LTJBT,194905435071,Fulfilled by Amazon,ALTRA Men's Superior 4.5 Trail Running Shoe - Color: Blue/Lime - Size: 10.5 - Width: Regular,Sports Shoes,1,68,171.99,
888 B08P4LR4Y8 US,B08P4LR4Y8,194905441294,Fulfilled by Amazon,"ALTRA Women's AL0A4VR7 Lone Peak 5 Trail Running Shoe, Khaki - 12 M US",Sports Shoes,1,68,156.99,114.95
888 B08P4LKZ6B US,B08P4LKZ6B,194905437020,Fulfilled by Amazon,Altra Footwear Paradigm 5 Gray/Coral 8.5 B (M),Sports Shoes,2,68,216.99,133.93
888 B08BW41TM1 US,B08BW41TM1,190340903113,Fulfilled by Amazon,Brooks Women's Adrenaline GTS 21 Supportive Running Shoe - Wood Violet/Lavender/Blue - 8.5 Medium,Sports Shoes,1,65,156.99,129.95
888 B07TRT7MN7 US,B07TRT7MN7,679894503814,Fulfilled by Amazon,Altra Footwear Lone Peak 4.5 Poppy 11.5 B (M),Sports Shoes,1,65,155.99,
888 B0751DTH9L US,B0751DTH9L,883799376781,Fulfilled by Amazon,Saucony Men's Excursion Tr11 Black/Slime Running Shoe 8.5 M US,Sports Shoes,4,50,60.99,49.95
888 B071VKHH56 US,B071VKHH56,190340329944,Fulfilled by Amazon,Brooks Womens PureFlow 7 - Black/White - B - 5.0,Sports Shoes,1,65,100,120
888 B095XJ325M US,B095XJ325M,194851767714,Fulfilled by Amazon,ASICS Gel-Nimbus(R) 23 Mist/Blazing Coral 8.5 B (M),Sports Shoes,5,65,156.99,129.95
888 B093RLH1WB US,B093RLH1WB,194851762818,Fulfilled by Amazon,"ASICS Men's Gel-Venture 8 Running Shoes, 14, Metropolis/Black",Sports Shoes,3,45,70.99,54.95
888 B091KSY9R8 US,B091KSY9R8,194851648884,Fulfilled by Amazon,"ASICS Men's Gel-Cumulus 23 Running Shoe, 11.5, Polar Shade/White",Sports Shoes,2,65,137.99,109.95
888 B08RXW97ZL US,B08RXW97ZL,194851448989,Fulfilled by Amazon,"ASICS Women's GT-1000 10 Running Shoes, 8, Black/White",Sports Shoes,1,50,105.99,89.95
888 B08KRT91YW US,B08KRT91YW,194851501936,Fulfilled by Amazon,"ASICS Kid's Matflex 6 Grade School Wrestling Shoes, K10, Peacoat/White",Sports Shoes,2,45,60.99,43.98
888 B08CS4D9TF US,B08CS4D9TF,194851504012,Fulfilled by Amazon,"ASICS Men's JB Elite IV Wrestling Shoes, 13, White/Rich Gold",Sports Shoes,10,65,138.99,113.57
888 B07P978FTT US,B07P978FTT,612632385198,Fulfilled by Amazon,"Danner Women's 61724 Trail 2650 3"" Hiking Shoe, Black/Grey - 8 M",Sports Shoes,1,40,144.99,219.99
888 B07SVNWVL9 US,B07SVNWVL9,840777160329,Fulfilled by Amazon,"Thorogood American Heritage 6"" Steel Toe Work Boots for Men - Full-Grain Leather with Moc Toe, Slip-Resistant Wedge Outsole, and Comfort Insole; EH Rated, Tobacco Oil-tanned - 7 D US",Work & Safety,1,160,264.99,255
888 B07FKCR6CX US,B07FKCR6CX,886457525750,Fulfilled by Amazon,New Papillio Women's Ashley Ankle Strap Thong Sandal Metallic Silver 37 R,Sandals & Slippers,1,60,101.99,207.28
888 B01MYBOP9L US,B01MYBOP9L,815863020054,Fulfilled by Amazon,"Ascent 100% Whey Protein Powder - Post Workout Whey Protein Isolate, Zero Artificial Flavors & Sweeteners, Gluten Free, 5.5g BCAA, 2.6g Leucine, Essential Amino Acids, Vanilla Bean 4 lb",Supplements & Nutrition ,2,41,90.99,74.99
888 B00ODRSP7Q US,B00ODRSP7Q,                    ,Fulfilled by Amazon,JABRA EVOLVE 65 UC MONO,Headphones & Portable Audio ,30,99,216.99,149.99
888 B07G359SDZ US,B07G359SDZ,                    ,Fulfilled by Amazon,Asus Prime H310M-E R2.0 Micro ATX Intel H310 DDR4-SDRAM Motherboard,Hardware,5,76.5,162.99,109.99
888 B07NMGDYPC US,B07NMGDYPC,884882318121,Fulfilled by Amazon,Twisted X Men's Cellstretch Driving Shoes Moc Toe Brown 12 D(M) US,Casual Shoes,1,55,120.99,
888 B07H4QL5TF US,B07H4QL5TF,884882281760,Fulfilled by Amazon,"Twisted X Women's Slip On Driving Moc - Designed with Removable SD Footbeds, Full-Grain Leather, and Compression- EVA, Midsoles with Integrated CellStretch Comfort Technology, Khaki & Multi,10 M",Casual Shoes,1,55,72.99,89.95
888 B01M8PGKQI US,B01M8PGKQI,884882213709,Fulfilled by Amazon,Twisted X Men's Rubber Boot Steel Toe Black 11 D(M) US,Work & Safety,1,55,63.99,94.95
888 B000EYBKS8 US,B000EYBKS8,736399103304,Fulfilled by Amazon,"Birkenstock Unisex Arizona Sandal,Mocha Suede,40 M EU",Sandals & Slippers,1,55,125.99,125
888 B08S5SBTMB US,B08S5SBTMB,194501140812,Fulfilled by Amazon,"Nike Men's On Deck Flip-flop, Grey, 10",Sandals & Slippers,6,16,40.99,43.43
888 B07HQKM5GP US,B07HQKM5GP,191497594308,Fulfilled by Amazon,"ASICS Women's Upcourt 3 Volleyball Shoes, 9, Black/White",Sports Shoes,4,45,63.99,89.99
888 B07HQK2HTF US,B07HQK2HTF,191497594315,Fulfilled by Amazon,"ASICS Women's Upcourt 3 Volleyball Shoes, 9.5, Black/White",Sports Shoes,1,45,56.99,49.49
888 B07HQHWBFC US,B07HQHWBFC,191497594292,Fulfilled by Amazon,"ASICS Women's Upcourt 3 Volleyball Shoes, 8.5, Black/White",Sports Shoes,6,45,66.99,99.99
888 B07HQH7CL1 US,B07HQH7CL1,191497594285,Fulfilled by Amazon,"ASICS Women's Upcourt 3 Volleyball Shoes, 8, Black/White",Sports Shoes,3,45,90.99,99.99
888 B083DZ5P9H US,B083DZ5P9H,194851151520,Fulfilled by Amazon,"ASICS Kid's Snapdown 3 Grade School Wrestling Shoes, 4.5, Carrier Grey/White",Kids` Shoes,1,36,84.99,75.45
888 B01K8WN81M US,B01K8WN81M,720026606757,Fulfilled by Amazon,Saucony Grid Stratos 5 Silver/Black/Pink 9,Sports Shoes,1,53,119.99,
888 B08SK2J42R US,B08SK2J42R,                    ,Fulfilled by Amazon,On Running Womens Cloud X Synthetic Textile Black Pearl Trainers 8 US,Sports Shoes,2,119,295.99,260
888 B01K7TNX0C US,B01K7TNX0C,801216262820,Fulfilled by Amazon,"La Sportiva Mens Mutant Trail Running Shoes, Carbon/Flame, 10.5",Sports Shoes,1,70,210.99,134.9
888 B00122LAQS US,B00122LAQS,801216010827,Fulfilled by Amazon,"La Sportiva Men's Makalu Boot,Natural,44.5 (US Men's 11) D US",Boots,1,175,366.99,348.95
888 B08F2VLF1H US,B08F2VLF1H,193658571111,Fulfilled by Amazon,Nike Mens Dry Polo Franchise (XL) Black,T-shirts,5,30,38.99,48.49
888 B00KFAC3AA US,B00KFAC3AA,762753375971,Fulfilled by Amazon,"Smith Optics - CHEETAH, Round, injection/propionate, men, HAVANA/BROWN SHADED POLARIZED(8YX/AY), 54/19/140",Sunglasses,1,55,104.99,77.66
888 B00QJ4ETS0 US,B00QJ4ETS0,827934367043,Fulfilled by Amazon,Oliver Peoples FAIRMONT SUN OV5219S - 1005/R8 BLACK w/INDIGO PHOTOCHROMIC LENS 49MM,Sunglasses,1,180,254.99,269.98
888 B06WV7MSM9 US,B06WV7MSM9,610600886661,Fulfilled by Amazon,"Dell Latitude 12 7000 7280 Notebook: Intel Core i5-6300U | 256GB SSD | 8GB DDR4 | 12.5"" (1366x768) | Backlit Keyboard | Windows 10 Pro - (Renewed)",Laptops & Tablets,1,220,323.99,135.03
888 B07DWDDQ22 US,B07DWDDQ22,190665219661,Fulfilled by Amazon,"Dr. Martens Women Amphibians Combat Boot, Black, 10",Books,3,75,176.99,169.95
888 B07SJ6X9VS US,B07SJ6X9VS,725125032285,Fulfilled by Amazon,Michael Kors SANTA CLARA MK4067U Eyeglass Frames 3015-53 - Transparent MK4067U-3015-53,Sunglasses,1,30,71.99,44.99
888 B0823WBSV8 US,B0823WBSV8,192485439670,Fulfilled by Amazon,"Tory Burch Women's Mini Miller Thong Flip Flops, Clear, 9 Medium US",Sandals & Slippers,2,60,118.99,98
888 B07Q481X1L US,B07Q481X1L,816672026350,Fulfilled by Amazon,"DEWALT Men's 6"" Halogen Steel Toe Work Boot (9 M US, Wheat)",Work & Safety,0,60,119.99,100
888 B01G82WTZ2 US,B01G82WTZ2,838823001221,Fulfilled by Amazon,Baratza Sette 270Wi-Grind by Weight Conical Burr Grinder,Kitchen & Dining ,1,428,659.99,599.95
888 B07RV1KYHB US,B07RV1KYHB,192499237798,Fulfilled by Amazon,Nike Men's Alpha Menace 2 Shark Wide Football Cleat Black/White/Anthracite Size 7 M US,Sports Shoes,1,40,179.99,149
888 B06XCVQVV2 US,B06XCVQVV2,091207821765,Fulfilled by Amazon,Nike AIR MAX ZERO ESSENTIAL MENS running-shoes 876070-100_8.5 - WHITE/WHITE-WOLF GREY-PURE PLATINUM,Sports Shoes,1,80,156.99,177.89
888 B01GTS652S US,B01GTS652S,                    ,Fulfilled by Amazon,Birkenstock Mens Arizona Eva Open Toe Adults Summer Sandals - Metallic Anthracite - 12-12.5,Sandals & Slippers,5,35,73.99,69.95
888 B07VB9WKZ8 US,B07VB9WKZ8,888830061954,Fulfilled by Amazon,"YETI Rambler 10 oz Wine Tumbler, Vacuum Insulated, Stainless Steel, Clay",Kitchen & Dining ,693,12,33.99,24.49
888 B00TI01LII US,B00TI01LII,684835160643,Fulfilled by Amazon,"Timberland Men's 40mm Pull Up Jean Belt, Brown, 38 US",Accessories,1,10,20.99,32
888 B083R6YK1M US,B083R6YK1M,190340767722,Fulfilled by Amazon,Brooks Men's Revel 4 Running Shoe - White/Black/Red - 14,Sports Shoes,1,70,118.99,89.95
888 B08RCLQY1Z US,B08RCLQY1Z,194905445896,Fulfilled by Amazon,"ALTRA Men's AL0A4VQL Rivera Road Running Shoe, Green - 9.5 M US",Sports Shoes,1,78,156.99,129.93
888 B08RCL6HYV US,B08RCL6HYV,194905448248,Fulfilled by Amazon,Altra Footwear Rivera Black/White 8.5 B (M),Sports Shoes,1,78,156.99,96.69
888 B08RCKX57Z US,B08RCKX57Z,194905446534,Fulfilled by Amazon,Altra Footwear Rivera White/Coral 8.5 B (M),Sports Shoes,3,78,156.99,129.95
888 B08RCKTPWZ US,B08RCKTPWZ,194905448002,Fulfilled by Amazon,Altra Footwear Rivera Teal/Green 8 B (M),Sports Shoes,2,78,156.99,129.93
888 B08RCKTPFL US,B08RCKTPFL,194905446442,Fulfilled by Amazon,Altra Footwear Rivera White/Coral 7.5 B (M),Sports Shoes,1,78,156.99,139.9
888 B08RCKS6W7 US,B08RCKS6W7,194905448040,Fulfilled by Amazon,Altra Footwear Rivera Black/White 8 B (M),Sports Shoes,2,78,156.99,129.95
888 B08RCKRDQ5 US,B08RCKRDQ5,194905447555,Fulfilled by Amazon,Altra Footwear Rivera Teal/Green 7 B (M),Sports Shoes,1,78,156.99,119.95
888 B08RCKMPQC US,B08RCKMPQC,194905448668,Fulfilled by Amazon,Altra Footwear Rivera Black/White 9.5 B (M),Sports Shoes,2,78,156.99,129.95
888 B08RCKFK3J US,B08RCKFK3J,194905448804,Fulfilled by Amazon,Altra Footwear Rivera Teal/Green 10 B (M),Sports Shoes,2,78,156.99,129.95
888 B08RCKC9W7 US,B08RCKC9W7,194905448897,Fulfilled by Amazon,Altra Footwear Rivera Rose/Coral 10 B (M),Sports Shoes,1,78,156.99,99.95
888 B08RCJWXDM US,B08RCJWXDM,194905446275,Fulfilled by Amazon,"ALTRA Men's AL0A4VQL Rivera Road Running Shoe, Light Blue - 9.5 M US",Sports Shoes,2,78,156.99,116.95
